fund_name,fund_known_activist,activist_label,issuer_name,ticker,sector,regime,entry_date,entry_filing_id,entry_holding_pct,entry_price,entry_mktcap,filing_purpose_text,purpose_flags,important_proposal_text,direction,ambiguous_flag,control_flag,going_private_flag,going_private_kw,source_url,submit_datetime,shares_held,outstanding_shares,indiv_corp,doc_title,filer_edinet,entry_pbr,entry_equity_ratio,entry_net_cash_ratio,entry_roe,stable_holder_pct,proposal_made,proposal_type,agm_result,company_response,exit_date,exit_filing_id,exit_price,holding_months,entry_to_exit_return,trap_label,exit_reason,notes
オアシス　マネジメント　カンパニー　リミテッド（Oasis Management Company Ltd.）,True,Oasis,株式会社セプテーニ・ホールディングス,4293,N/A,post2023,2023-12-21,S100SJ0K,9.9,N/A,N/A,ポートフォリオ投資および重要提案行為。,,株主価値を守るため、重要提案行為を行うことがある。,new,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SJ0K?type=2,2023-12-28 09:00,20896886,211079654,法人（ケイマン諸島法人）,大量保有報告書,E31883,,,,,,,,,,,,,,,,,
オアシス　マネジメント　カンパニー　リミテッド（Oasis Management Company Ltd.）,True,Oasis,DIC株式会社,4631,N/A,post2023,2023-12-21,S100SJ27,6.9,N/A,N/A,ポートフォリオ投資および重要提案行為。,,株主価値を守るため、重要提案行為を行うことがある。,new,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SJ27?type=2,2023-12-28 09:01,6563759,95156904,法人（ケイマン諸島法人）,大量保有報告書,E31883,,,,,,,,,,,,,,,,,
"グランサム、マヨ、ヴァン　オッテルロー　アンド　カンパニー　エルエルシー(Grantham, Mayo, Van Otterloo &amp; Co. LLC)",False,,兼松株式会社,8020,N/A,post2023,2023-12-21,S100SJWB,6.1,N/A,N/A,純投資及び状況に応じて重要提案行為等を行うこともありうる。,,状況に応じて重要提案行為等を行うこともありうる。,increase,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SJWB?type=2,2023-12-28 09:03,5152711,84500202,法人（外国会社）,変更報告書No.1,E35943,,,,,,,,,,,,,,,,,
シンフォニー・フィナンシャル・パートナーズ（シンガポール）ピーティーイー・リミテッド (Symphony Financial Partners (Singapore) Pte. Ltd.),True,Symphony Financial,ニシオホールディングス株式会社,9699,N/A,post2023,2023-12-21,S100SIUI,12.3,N/A,N/A,純投資及び状況に応じて重要提案行為を行うこともありうる,,状況に応じて重要提案行為を行うこともありうる,increase,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SIUI?type=2,2023-12-28 15:31,3493100,28391464,法人（外国法人）,変更報告書No.6,E30522,,,,,,,,,,,,,,,,,
アセット・バリュー・インベスターズ・リミテッド (Asset Value Investors Limited),True,AVI/AssetValueInvestors,ジェイドグループ株式会社,3558,N/A,post2023,2023-12-20,S100SIQQ,9.33,N/A,N/A,純投資及び状況に応じて重要提案行為等を行うこと,,持続的な企業価値の向上に向けた重要提案行為等を行う可能性がある,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SIQQ?type=2,2023-12-25 10:54,1071800,11487360,法人（外国会社）,変更報告書（5）,E34595,,,,,,,,,,,,,,,,,
みさき投資株式会社,True,Misaki Capital,太陽ホールディングス株式会社,4626,N/A,post2023,2023-12-18,S100SHY4,6.22,N/A,N/A,弊社の『働く株主(R)』というコンセプトと、日本版スチュワードシップ・コードの精神に則り、『経営者と投資家の建設的対話を通じた中長期的な投資リターンの拡大』を実現するため,,重要提案行為等を行う可能性　有,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SHY4?type=2,2023-12-25 15:05,3626100,58291559,法人（株式会社）,変更報告書　5,E32221,,,,,,,,,,,,,,,,,
3Dインベストメント・パートナーズ・プライベート・リミティッド（3D Investment Partners Pte. Ltd.）,True,3D Investment,サッポロホールディングス株式会社,2501,N/A,post2023,2023-12-18,S100SJEL,14.82,N/A,N/A,純投資及び状況に応じて、経営陣への助言、重要提案行為を行うこと。,,重要提案行為等を行う可能性がある。,increase,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SJEL?type=2,2023-12-25 16:00,11679800,78794298,法人（外国法人）,変更報告書No.9,E33309,,,,,,,,,,,,,,,,,
齋藤英樹,False,,データセクション株式会社,3905,N/A,post2023,2023-12-15,S100SIQV,7.57,N/A,N/A,純投資および企業価値向上に向けての重要提案行為,,主要株主による重要提案行為,new,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SIQV?type=2,2023-12-22 10:20,1132300,14957851,個人,大量保有報告書,E39298,,,,,,,,,,,,,,,,,
株式会社ヴァレックス・パートナーズ,True,Valex Partners,株式会社テクノメディカ,6678,N/A,post2023,2023-12-15,S100SI7G,0.31,N/A,N/A,純投資（投資一任契約その他契約に係る顧客の資産運用）及び状況に応じて重要提案行為等を行うこと,,状況に応じて重要提案行為等を行う可能性がある,N/A,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SI7G?type=2,2023-12-22 15:04,27400,8760000,法人（株式会社）,変更保有報告書　No.3,E35873,,,,,,,,,,,,,,,,,
ニッポン・アクティブ・バリュー・ファンド（NIPPON ACTIVE VALUE FUND PLC）,True,Dalton/NipponActiveValue,文化シヤッター株式会社,5930,N/A,post2023,2023-12-15,S100SIP5,3.38,N/A,N/A,投資及び経営陣に対する経営の助言並びに状況に応じて重要提案行為等を行うこと。特に、ニッポン・アクティブ・バリュー・ファンドは、発行会社の財務的健全性及び市場での地位が株価に反映されていないと考えており、全ての株主のために株式価値を高めるための方法を話し合うことを目的とし、発行会社の経営陣に対して対話を要求する場合がある。,増配|自社株|取締役選任,状況に応じ、①潜在的な利益相反回避のため、より一層透明性の高い管理体制を求め、一般の少数株主等の意見を尊重する独立取締役の選任を求めるなどの役員構成の変更、②株式価値向上のための増配など配当方針の変更、自社株買いなど資本政策への変更、③その他提出者が発行者の株主価値向上につながると考えるあらゆる合理的な措置、に関する重要提案行為等を行う可能性がある。,increase,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SIP5?type=2,2023-12-22 15:22,2441400,72196487,法人,変更報告書No.1,E36104,,,,,,,,,,,,,,,,,
カナメ・キャピタル・エルピー（Ｋａｎａｍｅ　Ｃａｐｉｔａｌ，Ｌ．Ｐ．）,True,Kaname Capital,ダイハツディーゼル株式会社,6023,N/A,post2023,2023-12-15,S100SIZ0,7.0,N/A,N/A,純投資及び状況に応じて重要提案行為等を行うこと。,,エンゲージメントの一環として、重要提案行為等を行う場合がある。,increase,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SIZ0?type=2,2023-12-22 15:55,2231400,31850000,外国法人,変更報告書Ｎｏ．２,E37907,,,,,,,,,,,,,,,,,
カナメ・キャピタル・エルピー（Ｋａｎａｍｅ　Ｃａｐｉｔａｌ，Ｌ．Ｐ．）,True,Kaname Capital,フロイント産業株式会社,6312,N/A,post2023,2023-12-13,S100SHZF,6.03,N/A,N/A,純投資及び状況に応じて重要提案行為等を行うこと。,,エンゲージメントの一環として、重要提案行為等を行う場合がある。,increase,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SHZF?type=2,2023-12-20 12:06,1109500,18400000,外国法人,変更報告書Ｎｏ．１,E37907,,,,,,,,,,,,,,,,,
