fund_name,fund_known_activist,activist_label,issuer_name,ticker,sector,regime,entry_date,entry_filing_id,entry_holding_pct,entry_price,entry_mktcap,filing_purpose_text,purpose_flags,important_proposal_text,direction,ambiguous_flag,control_flag,going_private_flag,going_private_kw,source_url,submit_datetime,shares_held,outstanding_shares,indiv_corp,doc_title,filer_edinet,entry_pbr,entry_equity_ratio,entry_net_cash_ratio,entry_roe,stable_holder_pct,proposal_made,proposal_type,agm_result,company_response,exit_date,exit_filing_id,exit_price,holding_months,entry_to_exit_return,trap_label,exit_reason,notes
アセット・バリュー・インベスターズ・リミテッド (Asset Value Investors Limited),True,AVI/AssetValueInvestors,ジェイドグループ株式会社,3558,N/A,post2023,2023-12-20,S100SIQQ,9.33,N/A,N/A,純投資及び状況に応じて重要提案行為等を行うこと,,持続的な企業価値の向上に向けた重要提案行為等を行う可能性がある,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SIQQ?type=2,2023-12-25 10:54,1071800,11487360,法人（外国会社）,変更報告書（5）,E34595,,,,,,,,,,,,,,,,,
みさき投資株式会社,True,Misaki Capital,太陽ホールディングス株式会社,4626,N/A,post2023,2023-12-18,S100SHY4,6.22,N/A,N/A,弊社の『働く株主(R)』というコンセプトと、日本版スチュワードシップ・コードの精神に則り、『経営者と投資家の建設的対話を通じた中長期的な投資リターンの拡大』を実現するため,,重要提案行為等を行う可能性　有,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SHY4?type=2,2023-12-25 15:05,3626100,58291559,法人（株式会社）,変更報告書　5,E32221,,,,,,,,,,,,,,,,,
"グランサム、マヨ、ヴァン　オッテルロー　アンド　カンパニー　エルエルシー(Grantham, Mayo, Van Otterloo &amp; Co. LLC)",False,,株式会社マンダム,4917,N/A,post2023,2023-12-11,S100SGR8,3.84,N/A,N/A,純投資及び状況に応じて重要提案行為等を行うこともありうる。,,状況に応じて重要提案行為等を行うこともありうる。,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SGR8?type=2,2023-12-18 11:48,1852600,48269212,法人（外国会社）,変更報告書No.1,E35943,,,,,,,,,,,,,,,,,
ダルトン・インベストメンツ・エルエルシー(Dalton Investments LLC),True,Dalton/NipponActiveValue,ポールトゥウィンホールディングス株式会社,3657,N/A,post2023,2023-12-04,S100SFRI,4.43,N/A,N/A,提出者は、発行者の株価が過小評価されており魅力的な投資機会であると考えて、発行者の株式を取得し長期的に保有する。提出者は、発行者の財務状況、戦略的決定、取締役会の決定、株価水準、他の投資機会、投資ポートフォリオの集中と分散に関する内部ガイドライン、株式市場の状況、全般的な経済・産業動向などの様々な状況に応じて、発行者の株式や関連金融商品の追加取得、若しくはその全部または一部の売却、その他提出者が適切と考えるあらゆる措置を採る可能性がある。更に提出者は、過小評価されていると提出者が考える発行者の株価および株主価値の向上のため、発行者、その役員・取締役、他の株主等との間で、発行者のコーポレートガバナンス、取締役会の構成、経営、事業、財務状況及び戦略に関して、建設的な対話を行うことを求めていく可能性がある。,増配|自社株|取締役選任,状況に応じ、①潜在的な利益相反回避のため、より一層透明性の高い管理体制を求め、一般の少数株主等の意見を尊重する独立取締役の選任を求めるなどの役員構成の変更、②株式価値向上のための増配など配当方針の変更、自社株買いなど資本政策への変更、③その他提出者が発行者の株主価値向上につながると考えるあらゆる合理的な措置、に関する重要提案行為等を行う可能性がある。,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SFRI?type=2,2023-12-11 16:11,1690200,38156000,法人（外国会社）,変更報告書No.5,E08827,,,,,,,,,,,,,,,,,
オービス・インベストメント・マネジメント・リミテッド（Orbis Investment Management Limited）,False,,TOYO TIRE株式会社,5105,N/A,post2023,2023-11-27,S100SDWC,4.88,N/A,N/A,純投資及び状況に応じて重要提案行為等を行うこと。,,状況に応じて重要提案行為等を行う予定である。,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SDWC?type=2,2023-12-04 15:12,7526459,154111029,法人（外国法人）,変更報告書No.4,E09662,,,,,,,,,,,,,,,,,
タイヨウ・パシフィック・パートナーズ・エルピー (Taiyo Pacific Partners L.P.),True,Taiyo,KHネオケム株式会社,4189,N/A,post2023,2023-11-15,S100SBGB,8.68,N/A,N/A,純投資及び状況に応じて経営陣への助言、重要提案行為等を行うこと。,,重要提案行為等を行う可能性がある。,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100SBGB?type=2,2023-11-22 15:18,3224400,37149400,法人（アメリカ合衆国デラウェア州法に基づくリミテッド・パートナーシップ）,変更報告書No. 1,E37410,,,,,,,,,,,,,,,,,
アセット・バリュー・インベスターズ・リミテッド (Asset Value Investors Limited),True,AVI/AssetValueInvestors,株式会社ＤＴＳ,9682,N/A,post2023,2023-10-23,S100S2BI,7.77,N/A,N/A,純投資及び重要提案行為等を行うこと,,持続的な企業価値の向上に向けた重要提案行為等を行う可能性がある,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100S2BI?type=2,2023-10-30 11:20,3695700,47590832,法人（外国会社）,変更報告書（6）,E34595,,,,,,,,,,,,,,,,,
タイヨウ・パシフィック・パートナーズ・エルピー (Taiyo Pacific Partners L.P.),True,Taiyo,株式会社トプコン,7732,N/A,post2023,2023-10-05,S100RZRP,3.99,N/A,N/A,純投資及び状況に応じて経営陣への助言、重要提案行為等を行うこと。,,重要提案行為等を行う可能性がある。,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100RZRP?type=2,2023-10-13 15:18,4321000,108322242,法人（アメリカ合衆国デラウェア州法に基づくリミテッド・パートナーシップ）,変更報告書 No. 1,E37410,,,,,,,,,,,,,,,,,
みさき投資株式会社,True,Misaki Capital,株式会社サカイ引越センター,9039,N/A,post2023,2023-06-22,S100R4I3,7.27,N/A,N/A,弊社の『働く株主(R)』というコンセプトと、日本版スチュワードシップ・コードの精神に則り、『経営者と投資家の建設的対話を通じた中長期的な投資リターンの拡大』を実現するため,,重要提案行為等を行う可能性　有,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100R4I3?type=2,2023-06-29 15:12,1538600,21162000,法人（株式会社）,変更報告書　11,E32221,,,,,,,,,,,,,,,,,
"いちごアセットマネジメント・インターナショナル・ピーティーイー・リミテッド (Ichigo Asset Management International, Pte. Ltd.)",True,Ichigo Asset,双日株式会社,2768,N/A,post2023,2023-06-20,S100R0ID,0.0,N/A,N/A,純投資。提出者１は、投資先企業との信頼関係構築と建設的な対話（エンゲージメント）に注力する日本株投資に特化した独立系資産運用会社であり、全てのステークホルダーに資する投資先企業の中長期的成長と企業価値向上の支援を投資理念としている。なお、対話の一環として、金融商品取引法等に定める重要提案行為等が含まれる場合もある。,,対話（エンゲージメント）の一環として金融商品取引法等に定める重要提案行為等が含まれる場合もある。,decrease,False,False,False,,https://api.edinet-fsa.go.jp/api/v2/documents/S100R0ID?type=2,2023-06-27 15:07,0,235000000,法人（外国法人）,変更報告書7,E11469,,,,,,,,,,,,,,,,,
